,group,image size,elapsed_time (min:sec),avg. direction,std. deviation,abs. deviation
20240507 fkt19 P2 CTR R1.2 deblurr_z057c1,CTR,"(1920, 1920, 3)",0:02,3.881,46.94,39.392
20240507 fkt19 P2 CTR R1.2 deblurr_z058c1,CTR,"(1920, 1920, 3)",0:02,3.195,46.894,39.309
20240507 fkt19 P2 CTR R1.2 deblurr_z059c1,CTR,"(1920, 1920, 3)",0:03,4.099,46.775,39.158
20240507 fkt19 P2 CTR R1.2 deblurr_z067c1,CTR,"(1920, 1920, 3)",0:02,6.03,46.21,38.423
20240507 fkt19 P2 CTR R1.2 deblurr_z073c1,CTR,"(1920, 1920, 3)",0:02,6.672,46.125,38.395
20240507 fkt19 P2 CTR R1.4-Deblurring_z22c1,CTR,"(1920, 1920, 3)",0:02,-1.992,45.298,37.88
20240507 fkt19 P2 CTR R1.4-Deblurring_z27c1,CTR,"(1920, 1920, 3)",0:02,-1.572,46.021,38.702
20240507 fkt19 P2 CTR R1.4-Deblurring_z28c1,CTR,"(1920, 1920, 3)",0:02,-0.188,46.337,38.967
20240507 fkt19 P2 CTR R1.4-Deblurring_z30c1,CTR,"(1920, 1920, 3)",0:02,0.289,46.425,39.123
20240507 fkt19 P2 CTR R1.4-Deblurring_z31c1,CTR,"(1920, 1920, 3)",0:02,0.78,46.445,39.094
20240507 fkt19 P2 MS R1-Deblurring-21_z112c1,MS,"(1920, 1920, 3)",0:02,-7.83,44.131,36.536
20240507 fkt19 P2 MS R1-Deblurring-21_z113c1,MS,"(1920, 1920, 3)",0:02,-7.49,44.336,36.697
20240507 fkt19 P2 MS R1-Deblurring-21_z119c1,MS,"(1920, 1920, 3)",0:02,-6.805,43.762,36.001
20240507 fkt19 P2 MS R1-Deblurring-21_z121c1,MS,"(1920, 1920, 3)",0:02,-6.415,44.014,36.292
20240507 fkt19 P2 MS R1-Deblurring-21_z136c1,MS,"(1920, 1920, 3)",0:02,-9.461,44.0,36.307
20240507 fkt19 P2 MS R1_3-Deblurring-20_z028c1,MS,"(1920, 1920, 3)",0:02,-6.517,43.235,35.447
20240507 fkt19 P2 MS R1_3-Deblurring-20_z038c1,MS,"(1920, 1920, 3)",0:02,-6.154,42.42,34.586
20240507 fkt19 P2 MS R1_3-Deblurring-20_z053c1,MS,"(1920, 1920, 3)",0:02,-7.744,41.321,33.611
20240507 fkt19 P2 MS R1_3-Deblurring-20_z076c1,MS,"(1920, 1920, 3)",0:02,-15.094,44.184,36.753
20240507 fkt19 P2 MS R1_3-Deblurring-20_z083c1,MS,"(1920, 1920, 3)",0:02,-14.156,44.91,37.498
