Unnamed: 0,image size,condition,elapsed time (mm:ss),donor,signal_threshold,avg. direction,mode direction,std. deviation,abs. deviation,replicate
20241116  fkt20 P3 PEMS 1.5 1_2 25x 0.6 zoom PBS-Image Export-112_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,84.723,80,47.401,39.108,fkt20__1
20241116  fkt20 P3 PEMS 1.5 1_25x 0.6 zoom PBS-Image Export-113_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,86.874,80,47.303,39.129,fkt20__1
20241116  fkt20 P3 PEMS 1.5 1_3 25x 0.6 zoom PBS-Image Export-110_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,88.551,104,47.713,39.702,fkt20__1
20241116  fkt20 P3 PEMS 1.5 1_4 25x 0.6 zoom PBS-Image Export-109_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,86.913,80,45.893,37.672,fkt20__1
20241116  fkt20 P3 PEMS 1.5 1_5 25x 0.6 zoom PBS-Image Export-108_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,82.493,72,45.67,37.316,fkt20__1
20241116  fkt20 P3 PEMS 1.5 1_7 25x 0.6 zoom PBS-Image Export-105_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,83.493,72,46.776,38.64,fkt20__1
20241116  fkt20 P3 PEMS 2h 1 25x 0.6 zoom PBS (not)-Image Export-39_c1-2.tif,"(1024, 1024)",2h,0:01,20,6,83.645,80,45.717,37.736,fkt20__1
20241116  fkt20 P3 PEMS 2h 1_2 25x 0.6 zoom PBS-Image Export-101_c1-2.tif,"(1024, 1024)",2h,0:01,20,6,85.58,80,47.765,39.764,fkt20__1
20241116  fkt20 P3 PEMS 2h 1_3 25x 0.6 zoom PBS-Image Export-36_c1-2.tif,"(1024, 1024)",2h,0:01,20,6,83.803,80,47.943,39.758,fkt20__1
20241116  fkt20 P3 PEMS 2h 1_4 25x 0.6 zoom PBS-Image Export-41_c1-2.tif,"(1024, 1024)",2h,0:01,20,6,79.433,68,42.824,34.885,fkt20__1
20241116  fkt20 P3 PEMS 2h 1_5 25x 0.6 zoom PBS-Image Export-42_c1-2.tif,"(1024, 1024)",2h,0:01,20,6,82.761,72,46.612,38.742,fkt20__1
20241116  fkt20 P3 PEMS 2h 1_6 25x 0.6 zoom PBS-Image Export-40_c1-2.tif,"(1024, 1024)",2h,0:01,20,6,80.186,72,45.137,37.42,fkt20__1
20241116  fkt20 P3 PEMS CTR 1_2 25x 0.6 zoom PBS-Image Export-122_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,84.031,76,45.005,36.987,fkt20__1
20241116  fkt20 P3 PEMS CTR 1_25x 0.6 zoom PBS (not)-Image Export-123_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,84.497,60,47.909,40.131,fkt20__1
20241116  fkt20 P3 PEMS CTR 1_3 25x 0.6 zoom PBS-Image Export-121_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,82.225,68,44.625,36.491,fkt20__1
20241116  fkt20 P3 PEMS CTR 1_4 25x 0.6 zoom PBS-Image Export-120_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,83.354,72,43.521,35.069,fkt20__1
20241116  fkt20 P3 PEMS CTR 1_5 25x 0.6 zoom PBS-Image Export-119_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,79.918,72,42.925,34.525,fkt20__1
20241116  fkt20 P3 PEMS CTR 1_6 25x 0.6 zoom PBS-Image Export-118_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,77.694,72,42.837,34.323,fkt20__1
20241116  fkt20 P3 PEMS CTR 1_7 25x 0.6 zoom PBS-Image Export-117_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,74.327,64,41.767,33.22,fkt20__1
20241128  fkt20 P3 PEMS CTR 2_2 25x 0.6 zoom PBS-Image Export-71_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,78.993,72,45.097,37.009,fkt20__2
20241128  fkt20 P3 PEMS CTR 2_25x 0.6 zoom PBS-Image Export-56_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,81.462,72,46.886,38.928,fkt20__2
20241128  fkt20 P3 PEMS CTR 2_3 25x 0.6 zoom PBS-Image Export-55_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,78.519,72,44.647,36.469,fkt20__2
20241128  fkt20 P3 PEMS CTR 2_4 25x 0.6 zoom PBS-Image Export-73_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,78.474,72,44.301,36.118,fkt20__2
20241128  fkt20 P3 PEMS CTR 2_5 25x 0.6 zoom PBS-Image Export-72_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,79.619,68,45.556,37.408,fkt20__2
20241128  fkt20 P3 PEMS CTR 2_6 25x 0.6 zoom PBS-Image Export-70_c1-2.tif,"(1024, 1024)",CTR,0:01,20,6,77.275,68,43.986,35.689,fkt20__2
20241202  fkt20 P3 PEMS 1.5 2_2 25x 0.6 zoom PBS-Image Export-63_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,85.834,80,46.869,38.757,fkt20__2
20241202  fkt20 P3 PEMS 1.5 2_25x 0.6 zoom PBS-Image Export-66_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,84.966,80,46.117,37.734,fkt20__2
20241202  fkt20 P3 PEMS 1.5 2_3 25x 0.6 zoom PBS-Image Export-65_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,86.192,76,44.478,36.187,fkt20__2
20241202  fkt20 P3 PEMS 1.5 2_4 25x 0.6 zoom PBS-Image Export-64_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,85.234,76,45.856,37.708,fkt20__2
20241202  fkt20 P3 PEMS 1.5 2_5 25x 0.6 zoom PBS (not)-Image Export-62_c1-2.tif,"(1024, 1024)",90s-30s,0:01,20,6,87.858,100,46.435,38.137,fkt20__2
