Unnamed: 0,image size,condition,elapsed time (mm:ss),donor,signal_threshold,avg. direction,mode direction,std. deviation,abs. deviation,replicate
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z10c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,105.507,168,37.568,28.607,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z20c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,104.976,168,38.067,29.145,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z30c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,99.781,168,40.202,31.469,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z40c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,95.665,168,41.945,33.442,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z50c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,95.619,168,41.456,32.847,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z60c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,94.586,168,41.714,33.134,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z70c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,97.079,168,41.279,32.508,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z80c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,93.46,168,41.729,33.246,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i1z90c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,97.6,168,40.718,32.041,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z10c1-2.tif,"(1920, 1920)",90s-30s,0:02,20,3,102.832,168,38.646,29.789,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z20c1-2.tif,"(1920, 1920)",90s-30s,0:02,20,3,102.347,168,39.006,30.251,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z30c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,97.785,168,41.243,32.719,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z40c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,93.382,168,43.309,35.109,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z50c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,93.803,168,42.171,33.76,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z60c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,93.046,168,42.606,34.182,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z70c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,93.879,168,42.685,34.284,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z80c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,92.876,168,43.124,34.858,fkt20__R1
20241115 bMyoB fkt20 P3_1_5'0_5' R1-Image Export-02_i2z90c1-2.tif,"(1920, 1920)",90s-30s,0:03,20,3,94.595,168,41.965,33.598,fkt20__R1
